Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_67ed633f	"The Oracle"	Once again the world is destroyed, ravaged by evil magic.	game/chapters/ch1_s1-7.rpy	7	"The Oracle" "[what]"
start_7a437d03	"The Oracle"	How many times do you have to try, Phoenix, before you understand you can't save the world alone?	game/chapters/ch1_s1-7.rpy	8	"The Oracle" "[what]"
start_edf47616	"Phoenix"	...	game/chapters/ch1_s1-7.rpy	10	"Phoenix" "[what]"
start_841e597f	"Phoenix"	The gods made me the protector of this world.	game/chapters/ch1_s1-7.rpy	11	"Phoenix" "[what]"
start_0a09d7ce	"The Oracle"	And you thought you'd have to bear this burden alone.	game/chapters/ch1_s1-7.rpy	12	"The Oracle" "[what]"
start_76a89a9c	"Phoenix"	Yes, but it's no use. I'm too weak...	game/chapters/ch1_s1-7.rpy	13	"Phoenix" "[what]"
start_506d6db7	"The Oracle"	You are not weak. Still, now you've seen it's an impossible task for one creature, no matter how powerful it is.	game/chapters/ch1_s1-7.rpy	14	"The Oracle" "[what]"
start_44eae25b	"Phoenix"	I can't heal the infected animals. I need the help of a healer!	game/chapters/ch1_s1-7.rpy	15	"Phoenix" "[what]"
start_3a0b0272	"Phoenix"	Oracle-	game/chapters/ch1_s1-7.rpy	16	"Phoenix" "[what]"
start_bbd5b3f9	"The Oracle"	Once again, I'll send you back in time to a location in which a Healer will find you.	game/chapters/ch1_s1-7.rpy	17	"The Oracle" "[what]"
start_c5d7eecf	"The Oracle"	But I too, am tired. I grow weary as my life force dwindles, thus I cannot bear the burden of using this kind of powerful magic anymore.	game/chapters/ch1_s1-7.rpy	18	"The Oracle" "[what]"
start_590ce42c	"The Oracle"	This will be the last time I can help you this way, I am afraid I will have to use your own life force to do so.	game/chapters/ch1_s1-7.rpy	19	"The Oracle" "[what]"
start_fbf0d701	"The Oracle"	You will arrive hurt and dying.	game/chapters/ch1_s1-7.rpy	20	"The Oracle" "[what]"
